联通直播,#genre#
CCTV-7,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000017218/index.m3u8?stbId=803694ee3ec24984d25a8e05c6af003a&channel-id=ystenlive&Contentid=1000000001000017218&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000017218&owchid=ystenlive&owsid=1972911598789486455&AuthInfo=%2BT2D6xWH%2B0zq1nbRufa0UZd0DoRsFFzYo343%2B6GP5fnmpKc81lPaQdDAcUBOgd1b2F%2Fr298WKXbL2W0yN05tWmGUwUInrHPq00Ou0OXedmlyEY354Eduk0yKGYah2bMe#http://112.50.243.8/PLTV/88888888/224/3221225927/1.m3u8#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225792/10000100000000060000000000215622_0.smil
CCTV-8,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000003736/index.m3u8?stbId=d8957265e5c0ec0c92a95dbf8ca6c5ce&channel-id=ystenlive&Contentid=1000000001000003736&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000003736&owchid=ystenlive&owsid=2302491598789652514&AuthInfo=0jOaB10JV%2Fnu5EmoldZ9P%2BrauEvIFNYptE%2BPiGFMQ4vmpKc81lPaQdDAcUBOgd1bTEkpExeqGRZK0CIc%2FfeiGwFJcb%2FY2FXMXq0wrZliRd9B%2B9sP2uqlnp1z%2FKfaRmnY#http://125.210.152.18:9090/live/CCTV8HD_H265.m3u8#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225793/10000100000000060000000000215626_0.smil
CCTV-9,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000014583/1.m3u8?stbId=0000019901080880122D73828EA0380122&Contentid=1000000001000014583&mos=52live&livemode=1&channel-id=ystenlive&version=1.0&owaccmark=1000000001000014583&owchid=ystenlive&owsid=4338721585038261952&AuthInfo=Y6uTJfT18TDBSIoN9u6g3AOqOh8NLzzTig2lX7JzaG3nH48mxyGlgTfU6CXNvmsupWSw%2Fdus3%2Bf1eqSKOUrCq6JHcslqBp23svFGNWjNl0tQQLE6mLv49C61Je5b7NGx#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225794/10000100000000060000000000215627_0.smil
CCTV10,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000023734/index.m3u8?stbId=ccd388d2f26b9c9c5e0d0b8cf9c52c48&channel-id=ystenlive&Contentid=1000000001000023734&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000023734&owchid=ystenlive&owsid=5592911598789572830&AuthInfo=zLXgIFj%2FDR7qPLyDn7oJZ7TrLyFfl2Dbj7hnebL3XNXmpKc81lPaQdDAcUBOgd1b3yb6YSj2FsWfxdlPdudnfsb%2FsBKMkH2iEUOYJmjhGR5Bm8evOc3k4cSp7hYCZf9P#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226227/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225814/1.m3u8
CCTV-11,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000002000019789/index.m3u8?stbId=9351db81e9648f2cb384ebd4bbacc393&channel-id=ystenlive&Contentid=1000000002000019789&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000002000019789&owchid=ystenlive&owsid=8414951598789901820&AuthInfo=8g87WNL6KmWvv8zlUD%2B50hY84wHaSjrpDkd0U2QCb5dZ8dvE280%2FJtQtAtv4LrPNH6C%2FuT7qG5OorQDdQPrPOeIQ19XJECOyKYpfQAMC2oy9g6foXDEly4qO0ET0u085#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226315/1.m3u8#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225801/10000100000000060000000000215662_0.smil
CCTV-12,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000001640/index.m3u8?stbId=114fdcb88c7561d575be17badeea6f15&channel-id=ystenlive&Contentid=1000000001000001640&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000001640&owchid=ystenlive&owsid=5464091598789696557&AuthInfo=TPMdOWkretJemDEcbntHaREMjJnhO8psNshzrMVSLBvmpKc81lPaQdDAcUBOgd1b%2FvnDdPYtY2PYqKvtSgQwJwoksf9ATC4WwRXZKW7SoRLMVc%2F5YmIF1S6FulAg8ZJL#http://112.50.243.8/PLTV/88888888/224/3221225816/1.m3u8#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225802/10000100000000060000000000215663_0.smil
CCTV-13,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000002000021303/1.m3u8?stbId=0000019901080866836D73828EA0366836&Contentid=1000000002000021303&mos=52live&livemode=1&channel-id=ystenlive&version=1.0&owaccmark=1000000002000021303&owchid=ystenlive&owsid=3273921598798632361&AuthInfo=99HQzfLkvKmUX1bvDK8pxibV%2BHp90qC55b2Fv%2Ba8ahOwSTJYAx4i6uIykCO63vhYcNR7FrxxUYcNCwQj%2FHgjTAl0tZSq9JRYFdaZLZDXf3p4TQFppinTirjlEjk%2B6glA#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225803/10000100000000060000000000215665_0.smil#http://223.110.241.130:6610/gitv/live1/G_CCTV-13-HQ/.m3u8
CCTV-14,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000008170/index.m3u8?stbId=0a7acd6d65a4c856b28004c1d5d0e11a&channel-id=ystenlive&Contentid=1000000001000008170&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000008170&owchid=ystenlive&owsid=7654781598790429204&AuthInfo=kHGUsgWVkQa%2FW7wxz3Pleuz06zO8uw7vbPrCXYHS6UzmpKc81lPaQdDAcUBOgd1bT70QStnaFuyj9Eye492zmSWKFRnrjAIKfAX6kfkBGsSq10mixgLT%2Bg0nVUCM%2F9RW#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225804/10000100000000060000000000215668_0.smil
CCTV-15,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000002000008163/index.m3u8?stbId=30d66b705fed893633c4e3874570fe36&channel-id=ystenlive&Contentid=1000000002000008163&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000002000008163&owchid=ystenlive&owsid=1982411598790440050&AuthInfo=9BbvnTcinSnzhpkDT7MnsplxGzouQrfotyPehBLWsqNZ8dvE280%2FJtQtAtv4LrPN1oQ%2BfelSbFN5HlZ2TzK%2FUGOmeDeULKl8hUmAMXRIPt4xXJ4WaBVvjXNEgdH1Vftu#http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226333/1.m3u8#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225805/10000100000000060000000000215669_0.smil
CCTV-17,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000005000056836/index.m3u8?stbId=e691f2f15772c0102b6a25b9837c225a&channel-id=ystenlive&Contentid=1000000005000056836&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000005000056836&owchid=ystenlive&owsid=5935011598790472232&AuthInfo=GFJ9v0W3imWwgMBwy1hojHaOrnJKyB4YkoSWCeofM1GtNi4PUMsliJ3wkuDw1LZOZLiwFp%2F27xb7D2ypmiTbFkrygXxJZE1XBMbsKtHFdSmBaMJvhi7fQG1ChDSnIwWP#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8
山东体育HD,rtsp://27.195.129.60:554/PLTV/88888888/224/3221225811/10000100000000060000000000215681_0.smil
山东农科HD,rtsp://27.195.129.60:554/PLTV/88888888/224/3221225813/10000100000000060000000000215686_0.smil
山东公共HD,rtsp://27.195.129.60:554/PLTV/88888888/224/3221225812/10000100000000060000000000215683_0.smil
山东综艺,rtsp://27.195.129.60:554/PLTV/88888888/224/3221225810/10000100000000060000000000215680_0.sm
山东影视,rtsp://27.195.129.60:554/PLTV/88888888/224/3221225808/10000100000000060000000000215675_0.smil
山东教育卫视HD,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/7341476808603780321/1.m3u8?stbId=0000019901080866836D73828EA0366836&Contentid=7341476808603780321&mos=52live&livemode=1&channel-id=ystenlive&version=1.0&owaccmark=7341476808603780321&owchid=ystenlive&owsid=7338631598872694658&AuthInfo=99HQzfLkvKmUX1bvDK8pxibV%2BHp90qC55b2Fv%2Ba8ahOKokiKYajbF2HvOJAP4xUQbnFOcWjRR%2BQh%2Bc1ogJO9LEPn72bwcO0qhjDN%2F18zC5wx7NpC18755ubbNToGfMnV#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225941/10000100000000060000000000218833_0.sm
山东少儿HD,rtsp://27.195.129.60:554/PLTV/88888888/224/3221225814/10000100000000060000000000215687_0.smil
浙江卫视HD,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000009806/index.m3u8?stbId=da0d7ab7091ee85ab3368f640ba2d7be&channel-id=ystenlive&Contentid=1000000001000009806&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000009806&owchid=ystenlive&owsid=7032691598795065476&AuthInfo=eC4UuPv8g4mAWHZEafAMWuCaFR1SFB2wfxVXm604EdfmpKc81lPaQdDAcUBOgd1bk9VskNeIDKYJudcDJookUuPz11iEDD06UXrqAsSybOs%2BO2SakBfbCyfrsXAk0fIH#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225866/10000100000000060000000000219050_0.smil
江苏卫视HD,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000004684/index.m3u8?stbId=68b11fea162d807573f9ebfb8ecc68fe&channel-id=ystenlive&Contentid=1000000001000004684&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000004684&owchid=ystenlive&owsid=1178021598794540283&AuthInfo=lgFjlRxOLzzJo99rsQN2OQ17%2F7NZVmEqMjp%2FUNSFImfmpKc81lPaQdDAcUBOgd1b0rXyHkioCLfJ7Y2XHtG4nHQyE8aDDD8GvfVtGrkjUUW4Bcp3SEQZ3aoeHTKSp%2F6J#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225872/10000100000000060000000000215718_0.smil
北京卫视HD,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000017156/1.m3u8?stbId=0000019901080866836D73828EA0366836&Contentid=1000000001000017156&mos=52live&livemode=1&channel-id=ystenlive&version=1.0&owaccmark=1000000001000017156&owchid=ystenlive&owsid=8517681585038082835&AuthInfo=99HQzfLkvKmUX1bvDK8pxibV%2BHp90qC55b2Fv%2Ba8ahNGToeSrx0APZBM8GkNeuXZMRPRe7sdpzmYiYADYJ9lpyEeU8hlHhDPQi%2B4xr2bnXxjtOMUFabXSpXeqLHlwmJt#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225868/10000100000000060000000000219046_0.smil
东方卫视HD,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000030202/1.m3u8?stbId=0000019901080866836D73828EA0366836&Contentid=1000000001000030202&mos=52live&livemode=1&channel-id=ystenlive&version=1.0&owaccmark=1000000001000030202&owchid=ystenlive&owsid=8719161598797312866&AuthInfo=99HQzfLkvKmUX1bvDK8pxibV%2BHp90qC55b2Fv%2Ba8ahOwSTJYAx4i6uIykCO63vhYgujEKd3LaWhU5MXvSVQw%2BLLYvXOs0SUgIrYfIlGXefYuVujesPKNlsVRZavfkA29
广东卫视HD,http://61.133.53.168/cache.ott.wasulive.itv.cmvideo.cn:80/000000001000/1000000001000014176/index.m3u8?stbId=fd70393a6184f9191d18a43a6b93d434&channel-id=ystenlive&Contentid=1000000001000014176&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000014176&owchid=ystenlive&owsid=9626331598792029066&AuthInfo=HfCewJcMqpjVctQ6ok0YwKItWeijqpNB6sY2Y7iLPt7mpKc81lPaQdDAcUBOgd1bKboENgKZE42RZQXdBkHzogat9ARXZSBg5l5u5q4LzSBFW%2FqoKq%2BqCYm7phvKFo52#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225881/10000100000000060000000000215744_0.smil
安徽卫视HD,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000020780/index.m3u8?stbId=dd0aaf1894c3ffcee0ecbe727a13a3eb&channel-id=ystenlive&Contentid=1000000001000020780&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000020780&owchid=ystenlive&owsid=6956421598790714175&AuthInfo=eDTXylbsoRmwWQRyXK%2F7zL4eQT3Tqi%2BMaJRdHwMS4vjmpKc81lPaQdDAcUBOgd1bGMoaZbeCzlCD7uC0cptO0OZXSPOvS6AMbMUGNOzCV97WD7n88Ikcxj02i6pSk3BQ#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225878/10000100000000060000000000215738_0.smil
湖北卫视HD,http://61.133.53.168/cache.ott.wasulive.itv.cmvideo.cn:80/000000001000/1000000001000010355/index.m3u8?stbId=1cb1f9c8ed5122efa1f77bee9ccf7759&channel-id=ystenlive&Contentid=1000000001000010355&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000010355&owchid=ystenlive&owsid=9831191598794377047&AuthInfo=9P1kNacZ67bdm4jTy3GLE9HiTW8JJ05ACbj00gRScmbmpKc81lPaQdDAcUBOgd1b47HAY%2F%2FChOndzZrUdu1L1m0Nh59BQB8E%2B5vSzQv9DRmgw3S266V7mwQS4QZd%2F1vv#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225879/10000100000000060000000000215740_0.smil
天津卫视HD,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000000831/1.m3u8?stbId=0000019901080866836D73828EA0366836&Contentid=1000000001000000831&mos=52live&livemode=1&channel-id=ystenlive&version=1.0&owaccmark=1000000001000000831&owchid=ystenlive&owsid=6446091598797588860&AuthInfo=99HQzfLkvKmUX1bvDK8pxibV%2BHp90qC55b2Fv%2Ba8ahOwSTJYAx4i6uIykCO63vhY55YBJhVLCmLi2NIMiEJM8J%2BzcwMVoZDFDPTbivgvObECfKq3ATzZXUVm%2F0d7Jl3t#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225880/10000100000000060000000000215743_0.smil
深圳卫视HD,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000009227/index.m3u8?stbId=326f53687d78c2952c85ba6ce069f442&channel-id=ystenlive&Contentid=1000000001000009227&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000009227&owchid=ystenlive&owsid=1782331598796124312&AuthInfo=lDCENVw7alJ9BfK2wP24kiPgmcYaFs53AX1xl8KkodzmpKc81lPaQdDAcUBOgd1b7AWUI0ul3dMdkDp5r24O8JW1EeiABwaMqvRqSX7YQaU3k4uZpErsXi5cDOMkhE0j#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225873/10000100000000060000000000215719_0.smil
江西卫视HD,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000013731/index.m3u8?stbId=5dbfcb22f462c3974f942fc3d71da2dc&channel-id=ystenlive&Contentid=1000000001000013731&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000013731&owchid=ystenlive&owsid=7478251598794902832&AuthInfo=zYkQ1G06Zy4i8eQT6alsggPZQE%2BW5hQrokSX%2FcQE55zmpKc81lPaQdDAcUBOgd1b%2B8Jc9TfHAKHOLuai2V%2F4VZIbkJSYR5p5Zq7IM2DvS6MVS%2FQHuOj9K%2BUorpxzCQKQ
辽宁卫视HD,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000002000024033/1.m3u8?stbId=0000019901080866836D73828EA0366836&Contentid=1000000002000024033&mos=52live&livemode=1&channel-id=ystenlive&version=1.0&owaccmark=1000000002000024033&owchid=ystenlive&owsid=2403151598798929722&AuthInfo=99HQzfLkvKmUX1bvDK8pxibV%2BHp90qC55b2Fv%2Ba8ahOwSTJYAx4i6uIykCO63vhYXTymWxulaYvqyWt3B8SSgdjywxFvNY%2Bb8u6FHZGUtEhMzYbRu5X9zACp%2FXWNsBST#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225882/10000100000000060000000000215746_0.smil
黑龙江卫视HD,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000001925/index.m3u8?stbId=d647d05269ddd10e014b9ce0aacfcca4&channel-id=ystenlive&Contentid=1000000001000001925&authCode=3a&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000001925&owchid=ystenlive&owsid=5288121598794266693&AuthInfo=OWpsP1jKbbTwgc9o52Q9TcAMFk2Jc5BlXQZA4aSVy13mpKc81lPaQdDAcUBOgd1bMhSI0JGopXxzRFdGyiQWsoQ7aN8wvMaJafs%2B9NpI%2B4A3itNa%2FNG%2BNvyVcOWbpcgr#rtsp://27.195.129.60:554/PLTV/88888888/224/3221225874/10000100000000060000000000215723_0.smil
陕西卫视HD,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000002000007495/1.m3u8?stbId=0000019901080866836D73828EA0366836&Contentid=1000000002000007495&mos=52live&livemode=1&channel-id=ystenlive&version=1.0&owaccmark=1000000002000007495&owchid=ystenlive&owsid=8598791598872227212&AuthInfo=99HQzfLkvKmUX1bvDK8pxibV%2BHp90qC55b2Fv%2Ba8ahOwSTJYAx4i6uIykCO63vhYSZoSZ7e8DdzHJ3qYOlZY0CkSv7W5%2FaZI6Ql%2F1asZFzkWwwmZ%2FEdEHXRy3ycMrJ9i
广西卫视HD,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000002000019837/1.m3u8?stbId=0000019901080866836D73828EA0366836&Contentid=1000000002000019837&mos=52live&livemode=1&channel-id=ystenlive&version=1.0&owaccmark=1000000002000019837&owchid=ystenlive&owsid=5565981598872092398&AuthInfo=99HQzfLkvKmUX1bvDK8pxibV%2BHp90qC55b2Fv%2Ba8ahOwSTJYAx4i6uIykCO63vhYv5zsa0v5lQRvHTB2oo70ck4cSBtQi9djPVTbK6HUBdEgnAJfV4yYQW14hbGRoPnd

甘肃卫视HD,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000002000017827/1.m3u8?stbId=0000019901080866836D73828EA0366836&Contentid=1000000002000017827&mos=52live&livemode=1&channel-id=ystenlive&version=1.0&owaccmark=1000000002000017827&owchid=ystenlive&owsid=3559181598872161051&AuthInfo=99HQzfLkvKmUX1bvDK8pxibV%2BHp90qC55b2Fv%2Ba8ahOwSTJYAx4i6uIykCO63vhY%2FktE%2BS3IgniSbXmGjLMOD729x%2FTW2VxqEk2H3q9ITO5S%2FogwqRjJZl%2BVXY6uV1xq
吉林卫视HD,http://61.133.53.168/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000002000027730/1.m3u8?stbId=0000019901080866836D73828EA0366836&Contentid=1000000002000027730&mos=52live&livemode=1&channel-id=ystenlive&version=1.0&owaccmark=1000000002000027730&owchid=ystenlive&owsid=2016831598872004636&AuthInfo=99HQzfLkvKmUX1bvDK8pxibV%2BHp90qC55b2Fv%2Ba8ahOwSTJYAx4i6uIykCO63vhYX9fPorN3AXOLhB5WnnX2mhDN2yklEZRgsMK6OGxJVcsz7eIIBdEEr0ehj%2B20ZQJj
